Cat ID,Category,Instruction,Code
4,Edit size,Edit the Size property of the Lamp to be 100 times its current size.,"public void ResizeLamp()
            {
                SceneAPI sceneAPI = GetSceneAPI();
                Object3D lamp = sceneAPI.FindObject3DByName(\""Lamp\"");
                if(lamp != null)
                {
                        lamp.SetSizeByScale(100f);
                }
                else
                {
                        // Handle the case when the Lamp object is not found in the scene.
                }
            }"
4,Edit size,Edit the Size property of the Lamp to be 1.5 times its current size,"public void ResizeUserLamp()
    	{
		Object3D userLamp = GetSceneAPI().FindObject3DByName(\""UserLamp\"");
		if(userLamp != null)
		{
			Vector3D currentSize = userLamp.GetSize();
			currentSize.x *= 1.5f;
			currentSize.y *= 1.5f;
			currentSize.z *= 1.5f;
			userLamp.SetSize(currentSize);
		}
		else
		{
			// Handle the case where the UserLamp does not exist
		}
    	}"
4,Edit size,Edit the Size property of the Lamp to be 0.5 times its current size.," public void ResizeLamp()
            {
                SceneAPI sceneAPI = GetSceneAPI();
                Object3D lamp = sceneAPI.FindObject3DByName(\""Lamp\"");
                if(lamp != null)
                {
                        lamp.SetSizeByScale(0.5f);
                }
                else
                {
                        // Handle the case when the Lamp object is not found in the scene.
                }
            }"
9,Interact,Interact with the Lamp using the Tap function to toggle its Illumination property.,"public void ToggleLampIllumination()
            {
                SceneAPI sceneAPI = GetSceneAPI();
                Object3D lamp = sceneAPI.FindObject3DByName(\""Lamp\"");
                if(lamp != null)
                {
                        lamp.WhenSelected((args) => 
                        {
                                bool isLit = lamp.IsLit();
                                lamp.Illuminate(!isLit);
                        });
                }
                else
                {
                        // Handle the case when the Lamp object is not found in the scene.
                }
            }"
1,Create,Create a Lamp at the user's current position.,"private Object3D lamp;
private SceneAPI sceneAPI;
    
public void CreateLampAtUserPosition()
            {
                sceneAPI = GetSceneAPI();
                Vector3D userPosition = sceneAPI.GetUsersHeadPosition();
                lamp = sceneAPI.CreateObject(\""UserLamp\"", \""Lamp\"", userPosition, new Vector3D(0, 0, 0));
            }"
3,Edit rotation,Rotate the Lamp to face the same direction as the user.,"public void RotateLampToUserDirection()
	{
		Vector3D userOrientation = sceneAPI.GetUserOrientation();
		lamp.SetRotation(userOrientation);
	}"
9,Interact,Interact with the Ceiling LED Light to turn it on.,"public void TurnOnCeilingLight()
    	{
        	SceneAPI sceneAPI = GetSceneAPI();
        	List<string> lightNames = new List<string> {\""Ceiling LED Light\"", \""Ceiling LED Light (1)\"", \""Ceiling LED Light (2)\"", \""Ceiling LED Light (3)\"", \""Ceiling LED Light (4)\"", \""Ceiling LED Light (5)\""};
        	foreach(string lightName in lightNames)
        	{
            		Object3D light = sceneAPI.FindObject3DByName(lightName);
            		if(light != null)
            		{
                		light.WhenSelected((args) => 
                		{
                    			light.Illuminate(true);
                		});
            		}
            		else
            		{
                		// Handle the case when the light is not found in the scene
            		}
        	}
    	}"
9,Interact,Interact with the Ceiling LED Light (1) to turn it on.,
9,Interact,Interact with the Standing Lamp to turn it off.,"public void TurnOffLamp()
    	{
        	SceneAPI sceneAPI = GetSceneAPI();
        	Object3D lamp = sceneAPI.FindObject3DByName(\""Standing Lamp\"");
        	if(lamp != null)
        	{
            		lamp.WhenSelected((args) => 
            		{
                		lamp.Illuminate(false);
            		});
        	}
        	else
        	{
            		// Handle the case when the lamp is not found in the scene
        	}
    	}"
4,Edit size,Edit the Size of the Standing Lamp to be 50% of its original size.,"public void ResizeLamp()
    	{
        	SceneAPI sceneAPI = GetSceneAPI();
        	Object3D lamp = sceneAPI.FindObject3DByName(\""Standing Lamp\"");
        	if(lamp != null)
        	{
            		Vector3D currentSize = lamp.GetSize();
            		Vector3D newSize = new Vector3D(currentSize.x * 0.5f, currentSize.y * 0.5f, currentSize.z * 0.5f);
            		lamp.SetSize(newSize);
        	}
        	else
        	{
            		// Handle the case when the lamp is not found in the scene
        	}
    	}"
